game_id,home,away
0022200913,LAL,DAL
0022200914,TOR,CLE
0022200915,SAC,OKC
0022200916,MIN,GSW
0022200917,HOU,POR
0022200918,LAC,DEN
0022200919,DET,CHA
0022200920,MIA,PHI
0022200921,BOS,NYK
0022200922,ORL,NOP
0022200923,WAS,ATL
0022200924,MIL,BKN
0022200925,CHI,TOR
0022200926,DEN,HOU
0022200927,LAL,MEM
0022200928,SAC,OKC
0022200929,IND,DAL
0022200930,SAS,UTA
0022200931,POR,GSW
0022200932,MIN,LAC
0022200933,PHX,CHA
0022200934,CHI,DET
0022200935,CLE,BOS
0022200936,PHI,MIA
0022200937,BKN,NYK
0022200938,MEM,HOU
0022200939,ORL,MIL
0022200940,LAL,OKC
0022200941,NOP,POR
0022200942,TOR,WAS
0022200943,PHI,DAL
0022200944,IND,SAS
0022200945,LAC,GSW
0022200946,ORL,CHA
0022200947,POR,ATL
0022200948,BKN,BOS
0022200949,NYK,MIA
0022200950,PHX,CHI
0022200951,UTA,OKC
0022200952,MEM,DEN
0022200953,NOP,GSW
0022200954,LAC,SAC
0022200955,MIN,LAL
0022200956,TOR,WAS
0022200957,DET,CLE
0022200958,ATL,MIA
0022200959,HOU,SAS
0022200960,PHI,MIL
0022200961,MIN,SAC
0022200962,PHX,DAL
0022200963,IND,CHI
0022200964,GSW,LAL
0022200965,CHA,BKN
0022200966,POR,ORL
0022200967,SAS,HOU
0022200968,UTA,OKC
0022200969,NYK,BOS
0022200970,MEM,LAC
0022200971,BOS,CLE
0022200972,PHI,IND
0022200973,MIL,WAS
0022200974,ATL,MIA
0022200975,TOR,DEN
0022200976,NOP,SAC
0022200977,POR,DET
0022200978,MIL,ORL
0022200979,CHA,NYK
0022200980,PHI,MIN
0022200981,BKN,HOU
0022200982,GSW,OKC
0022200983,UTA,DAL
0022200984,MEM,LAL
0022200985,ATL,WAS
0022200986,POR,BOS
0022200987,CLE,MIA
0022200988,DAL,NOP
0022200989,CHI,DEN
0022200990,OKC,PHX
0022200991,TOR,LAC
0022200992,CHA,DET
0022200993,HOU,IND
0022200994,UTA,ORL
0022200995,BKN,MIL
0022200996,GSW,MEM
0022200997,NYK,SAC
0022200998,POR,PHI
0022200999,ATL,WAS
0022201000,CLE,MIA
0022201001,BKN,MIN
0022201002,DEN,SAS
0022201003,TOR,LAL
0022201004,NYK,LAC
0022201005,UTA,CHA
0022201006,IND,DET
0022201007,MIA,ORL
0022201008,BOS,ATL
0022201009,CHI,HOU
0022201010,DAL,MEM
0022201011,OKC,NOP
0022201012,MIL,GSW
0022201013,SAC,PHX
0022201014,BKN,DEN
0022201015,CLE,CHA
0022201016,WAS,PHI
0022201017,POR,NOP
0022201018,OKC,SAS
0022201019,NYK,LAL
0022201020,IND,DET
0022201021,MIN,ATL
0022201022,UTA,MIA
0022201023,MEM,DAL
0022201024,BOS,HOU
0022201025,PHX,GSW
0022201026,MIL,SAC
0022201027,CLE,CHA
0022201028,DET,WAS
0022201029,DEN,TOR
0022201030,LAL,NOP
0022201031,BKN,OKC
0022201032,ORL,SAS
0022201033,MIL,PHX
0022201034,NYK,POR
0022201035,PHI,CLE
0022201036,MEM,MIA
0022201037,SAC,CHI
0022201038,LAL,HOU
0022201039,BOS,MIN
0022201040,DAL,SAS
0022201041,GSW,LAC
0022201042,DEN,DET
0022201043,SAC,BKN
0022201044,OKC,TOR
0022201045,IND,MIL
0022201046,ORL,PHX
0022201047,PHI,CHA
0022201048,GSW,ATL
0022201049,WAS,CLE
0022201050,MIN,CHI
0022201051,NOP,HOU
0022201052,MEM,SAS
0022201053,BOS,POR
0022201054,DAL,LAL
0022201055,DEN,NYK
0022201056,ORL,LAC
0022201057,PHI,IND
0022201058,MIN,TOR
0022201059,SAC,WAS
0022201060,MIA,CHI
0022201061,GSW,MEM
0022201062,BOS,UTA
0022201063,DEN,BKN
0022201064,PHX,OKC
0022201065,ATL,SAS
0022201066,MIA,DET
0022201067,NOP,HOU
0022201068,TOR,MIL
0022201069,LAC,POR
0022201070,ORL,LAL
0022201071,IND,CHA
0022201072,CHI,PHI
0022201073,MIN,NYK
0022201074,GSW,HOU
0022201075,DAL,MEM
0022201076,SAC,UTA
0022201077,WAS,ORL
0022201078,DET,ATL
0022201079,CLE,BKN
0022201080,SAS,NOP
0022201081,BOS,SAC
0022201082,OKC,LAC
0022201083,DEN,WAS
0022201084,NYK,MIA
0022201085,IND,TOR
0022201086,GSW,DAL
0022201087,PHI,CHI
0022201088,HOU,MEM
0022201089,SAS,MIL
